"id_gps_data","id_device","gps_date","ttf","temperature","sat_number","hdop","latitude","longitude","altitude","dimension","accurate"
44510,8,2022-12-12 12:00:00.000,,7,,,44.0772367,7.3975217,1874,,true
44518,9,2022-12-12 12:00:00.000,,8,,,44.0774783,7.3879400,2404,,true
44509,8,2022-12-12 06:00:00.000,,-2,,,44.0773267,7.3982250,1873,,true
44517,9,2022-12-12 06:00:00.000,,0,,,44.0767567,7.3891983,2382,,true
44508,8,2022-12-12 00:00:00.000,,1,,,44.0772950,7.3981517,1899,,true
44516,9,2022-12-12 00:00:00.000,,-4,,,44.0767067,7.3890950,2350,,true
44507,8,2022-12-11 18:00:00.000,,-4,,,44.0774033,7.3980033,1925,,true
44515,9,2022-12-11 18:00:00.000,,-3,,,44.0767283,7.3890617,2355,,true
44514,9,2022-12-11 12:00:00.000,,5,,,44.0770917,7.3886217,2391,,true
44506,8,2022-12-11 12:00:00.000,,14,,,44.0788483,7.3969817,2064,,true
44513,9,2022-12-11 06:00:00.000,,-2,,,44.0767733,7.3888833,2351,,true
44505,8,2022-12-11 00:00:00.000,,2,,,44.0771150,7.3982850,1905,,true
44512,9,2022-12-11 00:00:00.000,,1,,,44.0768017,7.3889850,2380,,true
44503,3,2022-12-11 00:00:00.000,,0,,,44.1727917,7.3234167,2335,,true
44511,9,2022-12-10 18:00:00.000,,0,,,44.0768200,7.3889933,2359,,true
44504,8,2022-12-10 18:00:00.000,,3,,,44.0772800,7.3982183,1878,,true
44502,3,2022-12-10 18:00:00.000,,0,,,44.1729600,7.3233983,2316,,true
44488,9,2022-12-10 12:00:00.000,,11,,,44.0769400,7.3889950,2390,,true
44481,8,2022-12-10 12:00:00.000,,10,,,44.0776283,7.3974017,1960,,true
44501,3,2022-12-10 06:00:00.000,,0,,,44.1730617,7.3232517,2302,,true
44487,9,2022-12-10 06:00:00.000,,1,,,44.0763300,7.3895100,2292,,true
44480,8,2022-12-10 00:00:00.000,,0,,,44.0786550,7.3970050,2043,,true
44500,3,2022-12-10 00:00:00.000,,0,,,44.1731467,7.3227867,2300,,true
44486,9,2022-12-10 00:00:00.000,,5,,,44.0762983,7.3896867,2302,,true
44485,9,2022-12-09 18:00:00.000,,1,,,44.0763817,7.3895250,2314,,true
44499,3,2022-12-09 18:00:00.000,,-1,,,44.1729883,7.3233917,2314,,true
44479,8,2022-12-09 18:00:00.000,,1,,,44.0788217,7.3972333,2052,,true
44478,8,2022-12-09 12:00:00.000,,5,,,44.0772267,7.3978333,1860,,true
44498,3,2022-12-09 12:00:00.000,,-1,,,44.1730133,7.3232633,2307,,true
44477,8,2022-12-09 06:00:00.000,,3,,,44.0774933,7.3976433,1834,,true
44484,9,2022-12-09 06:00:00.000,,2,,,44.0764617,7.3892700,2293,,true
44497,3,2022-12-09 06:00:00.000,,-1,,,44.1730633,7.3231550,2301,,true
44496,3,2022-12-09 00:00:00.000,,-1,,,44.1730600,7.3231950,2304,,true
44483,9,2022-12-09 00:00:00.000,,0,,,44.0763550,7.3895950,2313,,true
44471,3,2022-12-08 18:00:00.000,,0,,,44.1729367,7.3234700,2318,,true
44495,17,2022-12-08 18:00:00.000,,1,,,44.1603767,7.3745667,1743,,true
44482,9,2022-12-08 18:00:00.000,,0,,,44.0762250,7.3897500,2306,,true
44476,8,2022-12-08 18:00:00.000,,1,,,44.0772500,7.3980967,1883,,true
44475,8,2022-12-08 12:00:00.000,,9,,,44.0786283,7.3992450,1875,,true
44494,17,2022-12-08 12:00:00.000,,12,,,44.1593300,7.3736500,1760,,true
44470,3,2022-12-08 12:00:00.000,,-1,,,44.1729967,7.3232883,2321,,true
44438,5,2022-12-08 12:00:00.000,,11,,,44.0772517,7.3970500,1939,,true
44458,9,2022-12-08 12:00:00.000,,6,,,44.0779617,7.3885717,2417,,true
44450,14,2022-12-08 12:00:00.000,,4,,,44.1498600,7.3820733,1731,,true
44474,8,2022-12-08 06:00:00.000,,3,,,44.0790833,7.3988200,1904,,true
44457,9,2022-12-08 06:00:00.000,,2,,,44.0767300,7.3890517,2344,,true
44493,17,2022-12-08 06:00:00.000,,1,,,44.1600033,7.3753233,1688,,true
44469,3,2022-12-08 00:00:00.000,,-1,,,44.1730333,7.3232817,2311,,true
44492,17,2022-12-08 00:00:00.000,,-1,,,44.1599883,7.3761867,1594,,true
44473,8,2022-12-08 00:00:00.000,,3,,,44.0788883,7.3988633,1947,,true
44456,9,2022-12-08 00:00:00.000,,-2,,,44.0768867,7.3890383,2337,,true
44468,3,2022-12-07 18:00:00.000,,0,,,44.1729550,7.3234017,2320,,true
44455,9,2022-12-07 18:00:00.000,,0,,,44.0767067,7.3891533,2379,,true
44491,17,2022-12-07 18:00:00.000,,-1,,,44.1599350,7.3733817,1771,,true
44472,8,2022-12-07 18:00:00.000,,3,,,44.0783033,7.4002367,1965,,true
44423,10,2022-12-07 12:00:00.000,,9,,,44.2098217,7.3642383,1722,,true
44416,8,2022-12-07 12:00:00.000,,12,,,44.0791783,7.3989717,1918,,true
44467,3,2022-12-07 12:00:00.000,,0,,,44.1730133,7.3232600,2310,,true
44490,17,2022-12-07 12:00:00.000,,15,,,44.1594083,7.3742250,1687,,true
44437,5,2022-12-07 12:00:00.000,,11,,,44.0785533,7.3975550,2021,,true
44454,9,2022-12-07 12:00:00.000,,9,,,44.0781150,7.3901717,2428,,true
44449,14,2022-12-07 12:00:00.000,,5,,,44.1504017,7.3819350,1710,,true
44453,9,2022-12-07 06:00:00.000,,8,,,44.0763283,7.3916433,2227,,true
44466,3,2022-12-07 06:00:00.000,,-1,,,44.1730300,7.3232683,2307,,true
44415,8,2022-12-07 06:00:00.000,,4,,,44.0791717,7.3985767,1883,,true
44489,17,2022-12-07 06:00:00.000,,3,,,44.1596083,7.3734050,1737,,true
44414,8,2022-12-07 00:03:00.000,,2,,,44.0789083,7.3988067,1947,,true
44465,3,2022-12-07 00:00:00.000,,-1,,,44.1731150,7.3231217,2306,,true
44452,9,2022-12-07 00:00:00.000,,1,,,44.0762900,7.3917333,2221,,true
44431,17,2022-12-07 00:00:00.000,,-2,,,44.1596317,7.3733700,1739,,true
44451,9,2022-12-06 18:00:00.000,,1,,,44.0763750,7.3916933,2243,,true
44464,3,2022-12-06 18:00:00.000,,-1,,,44.1729867,7.3233067,2313,,true
44430,17,2022-12-06 18:00:00.000,,0,,,44.1567750,7.3729250,1746,,true
44448,14,2022-12-06 12:00:00.000,,2,,,44.1513117,7.3861400,1987,,true
44436,5,2022-12-06 12:00:00.000,,12,,,44.0785583,7.3984883,2038,,true
44413,9,2022-12-06 12:00:00.000,,10,,,44.0764700,7.3916900,2254,,true
44422,10,2022-12-06 12:00:00.000,,11,,,44.2096867,7.3649683,1700,,true
44429,17,2022-12-06 12:00:00.000,,13,,,44.1578933,7.3721450,1835,,true
44463,3,2022-12-06 12:00:00.000,,-1,,,44.1730033,7.3232650,2307,,true
44428,17,2022-12-06 06:00:00.000,,5,,,44.1572250,7.3728250,1798,,true
44462,3,2022-12-06 06:00:00.000,,-1,,,44.1730533,7.3232667,2299,,true
44412,9,2022-12-06 00:02:00.000,,1,,,44.0761750,7.3918067,2218,,true
44461,3,2022-12-06 00:00:00.000,,-1,,,44.1731450,7.3230600,2304,,true
44427,17,2022-12-06 00:00:00.000,,6,,,44.1574150,7.3726533,1770,,true
44426,17,2022-12-05 18:00:00.000,,-2,,,44.1577300,7.3743567,1695,,true
44460,3,2022-12-05 18:00:00.000,,-2,,,44.1729983,7.3233217,2311,,true
44459,3,2022-12-05 12:00:00.000,,-1,,,44.1729583,7.3233000,2330,,true
44425,17,2022-12-05 12:00:00.000,,4,,,44.1586500,7.3748933,1675,,true
44435,5,2022-12-05 12:00:00.000,,8,,,44.0776667,7.3973750,1858,,true
44399,9,2022-12-05 06:26:00.000,,4,,,44.0763300,7.3913317,2237,,true
44398,3,2022-12-05 06:00:00.000,,-1,,,44.1730533,7.3232550,2303,,true
44424,17,2022-12-05 06:00:00.000,,2,,,44.1573050,7.3726150,1766,,true
44390,8,2022-12-05 06:00:00.000,,-2,,,44.0813033,7.3992550,1979,,true
44383,17,2022-12-05 00:00:00.000,,5,,,44.1574367,7.3726550,1778,,true
44389,8,2022-12-05 00:00:00.000,,0,,,44.0813800,7.3992733,1986,,true
44397,3,2022-12-05 00:00:00.000,,-1,,,44.1730583,7.3232133,2305,,true
44388,8,2022-12-04 18:00:00.000,,0,,,44.0812233,7.3994533,1999,,true
44396,3,2022-12-04 18:00:00.000,,-1,,,44.1730033,7.3232967,2306,,true
44382,17,2022-12-04 18:00:00.000,,3,,,44.1574450,7.3740017,1716,,true
44447,14,2022-12-04 12:00:00.000,,3,,,44.1527083,7.3847400,1846,,true
44381,17,2022-12-04 12:00:00.000,,1,,,44.1575367,7.3739067,1692,,true
