id,cd_sig,code_10km,id_gps_data,id_device,gps_date,ttf,temperature,sat_number,hdop,latitude,longitude,altitude,dimension,accurate
1,1kmL93E976N6350,E976N6350,,,,,,,,,,,,
2,1kmL93E976N6351,E976N6351,,,,,,,,,,,,
3,1kmL93E976N6352,E976N6352,,,,,,,,,,,,
4,1kmL93E976N6353,E976N6353,,,,,,,,,,,,
5,1kmL93E976N6354,E976N6354,,,,,,,,,,,,
6,1kmL93E976N6355,E976N6355,,,,,,,,,,,,
7,1kmL93E976N6356,E976N6356,,,,,,,,,,,,
8,1kmL93E976N6357,E976N6357,,,,,,,,,,,,
9,1kmL93E976N6358,E976N6358,,,,,,,,,,,,
10,1kmL93E976N6359,E976N6359,,,,,,,,,,,,
11,1kmL93E976N6360,E976N6360,,,,,,,,,,,,
12,1kmL93E976N6361,E976N6361,,,,,,,,,,,,
13,1kmL93E976N6362,E976N6362,,,,,,,,,,,,
14,1kmL93E976N6363,E976N6363,,,,,,,,,,,,
15,1kmL93E976N6364,E976N6364,,,,,,,,,,,,
16,1kmL93E976N6370,E976N6370,,,,,,,,,,,,
17,1kmL93E976N6371,E976N6371,,,,,,,,,,,,
18,1kmL93E976N6372,E976N6372,,,,,,,,,,,,
19,1kmL93E976N6373,E976N6373,,,,,,,,,,,,
20,1kmL93E976N6374,E976N6374,,,,,,,,,,,,
21,1kmL93E976N6375,E976N6375,,,,,,,,,,,,
22,1kmL93E976N6376,E976N6376,,,,,,,,,,,,
23,1kmL93E977N6343,E977N6343,,,,,,,,,,,,
24,1kmL93E977N6344,E977N6344,,,,,,,,,,,,
25,1kmL93E977N6345,E977N6345,,,,,,,,,,,,
26,1kmL93E977N6346,E977N6346,,,,,,,,,,,,
27,1kmL93E977N6347,E977N6347,,,,,,,,,,,,
28,1kmL93E977N6348,E977N6348,,,,,,,,,,,,
29,1kmL93E977N6349,E977N6349,,,,,,,,,,,,
30,1kmL93E977N6350,E977N6350,,,,,,,,,,,,
31,1kmL93E977N6351,E977N6351,,,,,,,,,,,,
32,1kmL93E977N6352,E977N6352,,,,,,,,,,,,
33,1kmL93E977N6353,E977N6353,,,,,,,,,,,,
34,1kmL93E977N6354,E977N6354,,,,,,,,,,,,
35,1kmL93E977N6355,E977N6355,,,,,,,,,,,,
36,1kmL93E977N6356,E977N6356,,,,,,,,,,,,
37,1kmL93E977N6357,E977N6357,,,,,,,,,,,,
38,1kmL93E977N6358,E977N6358,,,,,,,,,,,,
39,1kmL93E977N6359,E977N6359,,,,,,,,,,,,
40,1kmL93E977N6360,E977N6360,,,,,,,,,,,,
41,1kmL93E977N6361,E977N6361,,,,,,,,,,,,
42,1kmL93E977N6362,E977N6362,,,,,,,,,,,,
43,1kmL93E977N6363,E977N6363,,,,,,,,,,,,
44,1kmL93E977N6364,E977N6364,,,,,,,,,,,,
45,1kmL93E977N6365,E977N6365,,,,,,,,,,,,
46,1kmL93E977N6366,E977N6366,,,,,,,,,,,,
47,1kmL93E977N6367,E977N6367,,,,,,,,,,,,
48,1kmL93E977N6368,E977N6368,,,,,,,,,,,,
49,1kmL93E977N6369,E977N6369,,,,,,,,,,,,
50,1kmL93E977N6370,E977N6370,,,,,,,,,,,,
51,1kmL93E977N6371,E977N6371,,,,,,,,,,,,
52,1kmL93E977N6372,E977N6372,,,,,,,,,,,,
53,1kmL93E977N6373,E977N6373,,,,,,,,,,,,
54,1kmL93E977N6374,E977N6374,,,,,,,,,,,,
55,1kmL93E977N6375,E977N6375,,,,,,,,,,,,
56,1kmL93E977N6376,E977N6376,,,,,,,,,,,,
57,1kmL93E977N6377,E977N6377,,,,,,,,,,,,
58,1kmL93E977N6378,E977N6378,,,,,,,,,,,,
59,1kmL93E978N6338,E978N6338,,,,,,,,,,,,
60,1kmL93E978N6339,E978N6339,,,,,,,,,,,,
61,1kmL93E978N6340,E978N6340,,,,,,,,,,,,
62,1kmL93E978N6341,E978N6341,,,,,,,,,,,,
63,1kmL93E978N6342,E978N6342,,,,,,,,,,,,
64,1kmL93E978N6343,E978N6343,,,,,,,,,,,,
65,1kmL93E978N6344,E978N6344,,,,,,,,,,,,
66,1kmL93E978N6345,E978N6345,,,,,,,,,,,,
67,1kmL93E978N6346,E978N6346,,,,,,,,,,,,
68,1kmL93E978N6347,E978N6347,,,,,,,,,,,,
69,1kmL93E978N6348,E978N6348,,,,,,,,,,,,
70,1kmL93E978N6349,E978N6349,,,,,,,,,,,,
71,1kmL93E978N6350,E978N6350,,,,,,,,,,,,
72,1kmL93E978N6351,E978N6351,,,,,,,,,,,,
73,1kmL93E978N6352,E978N6352,,,,,,,,,,,,
74,1kmL93E978N6353,E978N6353,,,,,,,,,,,,
75,1kmL93E978N6354,E978N6354,,,,,,,,,,,,
76,1kmL93E978N6355,E978N6355,,,,,,,,,,,,
77,1kmL93E978N6356,E978N6356,,,,,,,,,,,,
78,1kmL93E978N6357,E978N6357,,,,,,,,,,,,
79,1kmL93E978N6358,E978N6358,,,,,,,,,,,,
80,1kmL93E978N6359,E978N6359,,,,,,,,,,,,
81,1kmL93E978N6360,E978N6360,,,,,,,,,,,,
82,1kmL93E978N6361,E978N6361,,,,,,,,,,,,
83,1kmL93E978N6362,E978N6362,,,,,,,,,,,,
84,1kmL93E978N6363,E978N6363,,,,,,,,,,,,
85,1kmL93E978N6364,E978N6364,,,,,,,,,,,,
86,1kmL93E978N6365,E978N6365,,,,,,,,,,,,
87,1kmL93E978N6366,E978N6366,,,,,,,,,,,,
88,1kmL93E978N6367,E978N6367,,,,,,,,,,,,
89,1kmL93E978N6368,E978N6368,,,,,,,,,,,,
90,1kmL93E978N6369,E978N6369,,,,,,,,,,,,
91,1kmL93E978N6370,E978N6370,,,,,,,,,,,,
92,1kmL93E978N6371,E978N6371,,,,,,,,,,,,
93,1kmL93E978N6372,E978N6372,,,,,,,,,,,,
94,1kmL93E978N6373,E978N6373,,,,,,,,,,,,
95,1kmL93E978N6374,E978N6374,,,,,,,,,,,,
96,1kmL93E978N6375,E978N6375,,,,,,,,,,,,
97,1kmL93E978N6376,E978N6376,,,,,,,,,,,,
98,1kmL93E978N6377,E978N6377,,,,,,,,,,,,
99,1kmL93E978N6378,E978N6378,,,,,,,,,,,,
100,1kmL93E978N6379,E978N6379,,,,,,,,,,,,
101,1kmL93E978N6380,E978N6380,,,,,,,,,,,,
102,1kmL93E978N6381,E978N6381,,,,,,,,,,,,
103,1kmL93E978N6382,E978N6382,,,,,,,,,,,,
104,1kmL93E979N6338,E979N6338,,,,,,,,,,,,
105,1kmL93E979N6339,E979N6339,,,,,,,,,,,,
106,1kmL93E979N6340,E979N6340,,,,,,,,,,,,
107,1kmL93E979N6341,E979N6341,,,,,,,,,,,,
108,1kmL93E979N6342,E979N6342,,,,,,,,,,,,
109,1kmL93E979N6343,E979N6343,,,,,,,,,,,,
